queue_rank,event_id,cluster_id,candidate_class,evidence_confidence,candidate_evidence_summary,validation_action_required,latitude,longitude
13,FIRMS_0121,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 150m, NDBI 0.13).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97903,72.56763
14,FIRMS_0131,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 525m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97618,72.56326
15,FIRMS_0136,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 351m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97655,72.56552
16,FIRMS_0137,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 362m, NDBI 0.18).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.9806,72.56644
17,FIRMS_0145,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 443m, NDBI 0.18).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.98177,72.56716
18,FIRMS_0150,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 447m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.9789,72.56432
19,FIRMS_0157,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 227m, NDBI 0.11).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97745,72.56644
20,FIRMS_0160,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 177m, NDBI 0.21).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97958,72.56837
21,FIRMS_0164,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 371m, NDBI 0.12).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97653,72.56532
22,FIRMS_0178,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 484m, NDBI 0.12).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.98005,72.5644
23,FIRMS_0190,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 442m, NDBI 0.16).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.9794,72.56454
24,FIRMS_0193,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 236m, NDBI 0.10).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97887,72.56647
25,FIRMS_0197,4,Persistent Industrial Heat,High,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 147m, NDBI 0.14).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.97866,72.56733
26,FIRMS_0187,126,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (6916m) or mixed spectral signals (NDVI 0.20, NDBI 0.17, FRP 4.08MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.94851,72.34847
27,FIRMS_0188,126,Other Thermal Source,High,"Remote from industrial infrastructure (6891m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.33, NDBI 0.02), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.94888,72.35261
28,FIRMS_0191,126,Other Thermal Source,High,"Remote from industrial infrastructure (6855m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.33, NDBI -0.04), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.94755,72.34718
29,FIRMS_0001,0,Other Thermal Source,Medium,"Remote from industrial infrastructure (5784m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.30, NDBI 0.04), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.91167,72.26035
30,FIRMS_0002,0,Other Thermal Source,High,"Remote from industrial infrastructure (5538m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.63, NDBI -0.16), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.91384,72.25944
31,FIRMS_0009,7,Other Thermal Source,High,"Remote from industrial infrastructure (4575m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.69, NDBI -0.36), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.91476,72.33144
32,FIRMS_0010,7,Other Thermal Source,High,"Remote from industrial infrastructure (4860m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.55, NDBI -0.12), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.91593,72.32841
33,FIRMS_0033,21,Other Thermal Source,Medium,"Remote from industrial infrastructure (3921m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.50, NDBI -0.15), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.97641,72.43799
34,FIRMS_0034,21,Other Thermal Source,High,"Remote from industrial infrastructure (4012m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.87, NDBI -0.39), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.97737,72.4377
35,FIRMS_0069,45,Other Thermal Source,High,"Remote from industrial infrastructure (6006m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.31, NDBI 0.17), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.14455,72.31611
36,FIRMS_0070,45,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5980m) or mixed spectral signals (NDVI 0.17, NDBI 0.12, FRP 4.67MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.14731,72.31373
37,FIRMS_0080,54,Other Thermal Source,High,"Remote from industrial infrastructure (6268m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.56, NDBI 0.01), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.91181,72.28054
38,FIRMS_0081,54,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5898m) or mixed spectral signals (NDVI 0.17, NDBI 0.22, FRP 5.40MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.91519,72.27989
39,FIRMS_0100,70,Other Thermal Source,High,"Remote from industrial infrastructure (5059m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.80, NDBI -0.27), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.98868,72.41434
40,FIRMS_0101,70,Other Thermal Source,Medium,"Remote from industrial infrastructure (5253m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.02, NDBI -0.05), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.98924,72.41818
41,FIRMS_0125,86,Other Thermal Source,Medium,"Remote from industrial infrastructure (4062m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.04), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.92417,72.51684
42,FIRMS_0126,86,Other Thermal Source,High,"Remote from industrial infrastructure (4139m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.53, NDBI -0.13), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.92444,72.51591
43,FIRMS_0008,6,Other Thermal Source,High,"Remote from industrial infrastructure (4201m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.44, NDBI -0.06), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.86525,72.4506
44,FIRMS_0020,12,Other Thermal Source,High,"Remote from industrial infrastructure (5257m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.38, NDBI 0.03), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.7951,72.43128
45,FIRMS_0025,15,Other Thermal Source,High,"Remote from industrial infrastructure (7487m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.33, NDBI 0.04), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.24492,72.43323
46,FIRMS_0041,26,Other Thermal Source,High,"Remote from industrial infrastructure (8716m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.76, NDBI -0.22), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.16089,72.2728
47,FIRMS_0062,41,Other Thermal Source,High,"Remote from industrial infrastructure (4254m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.34, NDBI 0.00), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.21547,72.43324
48,FIRMS_0068,44,Other Thermal Source,High,"Remote from industrial infrastructure (5612m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.58, NDBI -0.10), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.13341,72.34417
49,FIRMS_0078,52,Other Thermal Source,High,"Remote from industrial infrastructure (4194m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.33, NDBI 0.06), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.87034,72.6946
50,FIRMS_0153,102,Other Thermal Source,High,"Remote from industrial infrastructure (6173m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.52, NDBI -0.08), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.9559,72.34708
51,FIRMS_0163,108,Other Thermal Source,High,"Remote from industrial infrastructure (5608m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.32, NDBI 0.09), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.00257,72.43394
52,FIRMS_0186,125,Other Thermal Source,High,"Remote from industrial infrastructure (5745m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.51, NDBI -0.14), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.86722,72.3024
53,FIRMS_0200,134,Other Thermal Source,High,"Remote from industrial infrastructure (4864m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.36, NDBI 0.05), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.09093,72.35571
54,FIRMS_0201,135,Other Thermal Source,High,"Remote from industrial infrastructure (5209m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.30, NDBI 0.14), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.09496,72.35213
55,FIRMS_0005,3,Persistent Industrial Heat,Medium,"Multi-date recurrence (3 dates over 54d span in cluster), inside/adjacent to industrial zone (dist 1091m, NDBI 0.15).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.95972,72.54742
56,FIRMS_0139,3,Persistent Industrial Heat,Medium,"Multi-date recurrence (3 dates over 54d span in cluster), inside/adjacent to industrial zone (dist 1059m, NDBI 0.08).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.96237,72.54801
57,FIRMS_0142,3,Persistent Industrial Heat,Medium,"Multi-date recurrence (3 dates over 54d span in cluster), inside/adjacent to industrial zone (dist 1043m, NDBI 0.11).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.95882,72.54778
58,FIRMS_0143,3,Persistent Industrial Heat,Medium,"Multi-date recurrence (3 dates over 54d span in cluster), inside/adjacent to industrial zone (dist 1247m, NDBI 0.23).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.96,72.54593
59,FIRMS_0024,14,Other Thermal Source,Medium,"Remote from industrial infrastructure (3909m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.38, NDBI 0.12), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.95061,72.41132
60,FIRMS_0027,14,Other Thermal Source,Medium,"Remote from industrial infrastructure (4307m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.21, NDBI 0.29), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.95463,72.41178
61,FIRMS_0028,14,Other Thermal Source,Medium,"Remote from industrial infrastructure (4559m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.22), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.95612,72.40912
62,FIRMS_0044,28,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 22d span in cluster), inside/adjacent to industrial zone (dist 796m, NDBI 0.22).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.81513,72.38505
63,FIRMS_0110,28,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 22d span in cluster), inside/adjacent to industrial zone (dist 1179m, NDBI 0.16).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.81889,72.38586
64,FIRMS_0111,28,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (1502m) or mixed spectral signals (NDVI 0.37, NDBI 0.02, FRP 17.01MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.81947,72.39011
65,FIRMS_0065,43,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2410m) or mixed spectral signals (NDVI 0.50, NDBI -0.05, FRP 12.56MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.0425,72.33364
66,FIRMS_0066,43,Other Thermal Source,Medium,"Remote from industrial infrastructure (2671m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.22, NDBI 0.22), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.04304,72.33891
67,FIRMS_0067,43,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2724m) or mixed spectral signals (NDVI 0.15, NDBI 0.09, FRP 21.75MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.04467,72.33624
68,FIRMS_0105,74,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 39d span in cluster), inside/adjacent to industrial zone (dist 605m, NDBI 0.18).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.90541,72.431
69,FIRMS_0173,74,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 39d span in cluster), inside/adjacent to industrial zone (dist 521m, NDBI 0.17).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.90704,72.42893
70,FIRMS_0174,74,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 39d span in cluster), inside/adjacent to industrial zone (dist 488m, NDBI 0.06).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.90734,72.42881
71,FIRMS_0018,11,Other Thermal Source,Medium,"Remote from industrial infrastructure (8190m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.22, NDBI 0.15), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.77944,72.45569
72,FIRMS_0019,11,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (8571m) or mixed spectral signals (NDVI 0.18, NDBI 0.10, FRP 4.72MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.7803,72.46003
73,FIRMS_0035,22,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (8169m) or mixed spectral signals (NDVI 0.16, NDBI 0.09, FRP 5.37MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.79262,72.49578
74,FIRMS_0036,22,Other Thermal Source,Medium,"Remote from industrial infrastructure (8075m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.27, NDBI 0.07), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.79391,72.49732
75,FIRMS_0042,27,Other Thermal Source,Medium,"Remote from industrial infrastructure (5038m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.29, NDBI 0.12), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.20924,72.2981
76,FIRMS_0043,27,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (4963m) or mixed spectral signals (NDVI 0.11, NDBI 0.16, FRP 5.22MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.21135,72.29937
77,FIRMS_0057,37,Other Thermal Source,Medium,"Remote from industrial infrastructure (4722m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.17, NDBI 0.04), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.77055,72.26617
78,FIRMS_0058,37,Other Thermal Source,Medium,"Remote from industrial infrastructure (4843m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.20, NDBI 0.08), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.77288,72.2662
79,FIRMS_0074,49,Other Thermal Source,Medium,"Remote from industrial infrastructure (3683m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.17), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.88402,72.64179
80,FIRMS_0075,49,Other Thermal Source,Medium,"Remote from industrial infrastructure (3438m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.21, NDBI 0.12), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.88669,72.64285
81,FIRMS_0108,77,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (2474m) or mixed spectral signals (NDVI 0.22, NDBI 0.12, FRP 12.75MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.14765,72.59921
82,FIRMS_0109,77,Other Thermal Source,Medium,"Remote from industrial infrastructure (2831m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.40, NDBI -0.00), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.1508,72.59597
83,FIRMS_0116,81,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 2d span in cluster), inside/adjacent to industrial zone (dist 884m, NDBI 0.19).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.78016,72.34639
84,FIRMS_0120,81,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 2d span in cluster), inside/adjacent to industrial zone (dist 1110m, NDBI 0.13).",Confirm industrial facility boundary and continuous operations via satellite basemap.,22.7823,72.3466
85,FIRMS_0117,82,Other Thermal Source,Medium,"Remote from industrial infrastructure (5117m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.22, NDBI 0.08), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.85525,72.52629
86,FIRMS_0118,82,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (5093m) or mixed spectral signals (NDVI 0.15, NDBI 0.18, FRP 8.63MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.85662,72.52569
87,FIRMS_0132,90,Other Thermal Source,Medium,"Remote from industrial infrastructure (6554m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.25, NDBI 0.19), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.83231,72.52499
88,FIRMS_0133,90,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (6135m) or mixed spectral signals (NDVI 0.15, NDBI 0.17, FRP 8.25MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,22.83278,72.52921
89,FIRMS_0140,94,Ambiguous (Review Required),Ambiguous,"Intermediate proximity (494m) or mixed spectral signals (NDVI 0.58, NDBI -0.12, FRP 2.05MW).",Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,23.01382,72.33582
90,FIRMS_0183,94,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 26d span in cluster), inside/adjacent to industrial zone (dist 512m, NDBI 0.05).",Confirm industrial facility boundary and continuous operations via satellite basemap.,23.01477,72.3363
91,FIRMS_0152,101,Gas Flare,Medium,"Strong thermal contrast (Delta T = 33.3K), located at specialized industrial works/power/chemical site (670m).","Verify presence of elevated flare stack, chemical refinery, or burner unit via high-resolution imagery.",23.02414,72.26765
92,FIRMS_0170,101,Persistent Industrial Heat,Medium,"Multi-date recurrence (2 dates over 10d span in cluster), inside/adjacent to industrial zone (dist 427m, NDBI 0.14).",Confirm industrial facility boundary and continuous operations via satellite basemap.,23.02804,72.26569
93,FIRMS_0003,1,Other Thermal Source,Medium,"Remote from industrial infrastructure (3044m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.35, NDBI 0.07), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.85421,72.43613
94,FIRMS_0011,8,Other Thermal Source,Medium,"Remote from industrial infrastructure (6588m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.27, NDBI 0.06), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.92537,72.74552
95,FIRMS_0016,9,Other Thermal Source,Medium,"Remote from industrial infrastructure (3560m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.43, NDBI 0.10), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.95616,72.74741
96,FIRMS_0023,13,Other Thermal Source,Medium,"Remote from industrial infrastructure (4065m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.20, NDBI 0.09), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.78164,72.53414
97,FIRMS_0030,18,Other Thermal Source,Medium,"Remote from industrial infrastructure (2918m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.44, NDBI 0.09), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.80784,72.5648
98,FIRMS_0038,24,Other Thermal Source,Medium,"Remote from industrial infrastructure (5134m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.20, NDBI 0.30), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.86575,72.52106
99,FIRMS_0053,34,Other Thermal Source,Medium,"Remote from industrial infrastructure (3707m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.52, NDBI 0.02), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.9001,72.54078
100,FIRMS_0073,48,Other Thermal Source,Medium,"Remote from industrial infrastructure (7392m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.25, NDBI 0.07), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.8515,72.48209
101,FIRMS_0079,53,Other Thermal Source,Medium,"Remote from industrial infrastructure (6562m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.23, NDBI 0.09), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.90777,72.27724
102,FIRMS_0085,58,Other Thermal Source,Medium,"Remote from industrial infrastructure (6554m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.25, NDBI 0.12), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.84739,72.51508
103,FIRMS_0089,62,Other Thermal Source,Medium,"Remote from industrial infrastructure (3180m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.67, NDBI -0.17), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.93506,72.25756
104,FIRMS_0093,65,Other Thermal Source,Medium,"Remote from industrial infrastructure (5307m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.30, NDBI 0.17), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.9166,72.2655
105,FIRMS_0095,66,Other Thermal Source,Medium,"Remote from industrial infrastructure (2634m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.36, NDBI 0.04), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.85114,72.42912
106,FIRMS_0096,67,Other Thermal Source,Medium,"Remote from industrial infrastructure (6142m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.20, NDBI 0.14), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.89433,72.50488
107,FIRMS_0097,68,Other Thermal Source,Medium,"Remote from industrial infrastructure (3161m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.64, NDBI -0.18), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,22.89587,72.33046
108,FIRMS_0112,78,Other Thermal Source,Medium,"Remote from industrial infrastructure (4266m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.22, NDBI 0.18), single/episodic burn.",Verify agricultural plot boundary or open field context on satellite imagery.,23.08708,72.40451
109,FIRMS_0128,88,Industrial Fire,Medium,"Acute transient detection (span 0d) with elevated thermal emission (FRP 5.44MW, TI4 340.8K) inside industrial zone (78m, NDBI 0.06).",Cross-reference with local municipal fire dispatch logs or optical smoke plume evidence.,22.97361,72.55895
